,project,dependencyProblems,nonDependencyProblems,cranDependencies,nonCranDependencies,createdAtMillis,descriptionChurn,sourceContributors,issueContributors,PRContributors,forksCount,watchersCount,starsCount,isCRAN,sourceLOC,soureceFiles,commentsCount,downstreamProjects,upstreamContributions,upstreamContributionsFraction,upstreamIssueContributions,upstreamIssueContributionsFraction,upstreamAllContributions,upstreamAllContributionsFraction,uniqueUsersAll,averageUpstreamVersion,averageUpstreamReleases,averageUpstreamAge
5,gjkerns_ipsur,2,34,21,3,1301951490000,4,1,5,6,49,76,76,True,2432,43,702,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1.7333333333333334,1.5606351287395996,3150.666666666666
9,jeroenooms_opencpu.demo-legacy,0,5,9,0,1327176644000,8,3,1,4,5,13,13,False,320,9,203,0.0,0.0,0.0,1.0,0.0625,1.0,0.0625,4,1.8333333333333333,2.1862954899630784,3259.5
10,christophsax_tempdisagg,0,23,0,0,1370690436000,24,2,7,7,2,8,8,True,707,8,719,6.0,,,,,,,7,,,
13,mbannert_gateveys,0,1,5,1,1358949263000,2,1,2,2,0,0,0,False,556,21,516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.2,2.4257670569688234,2816.4
14,fvafrcu_documentation,1,0,5,3,1425474940000,18,2,0,1,1,0,0,False,1201,14,812,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.75,4.117226800026179,1140.25
18,kevin-m-smith_nwisnfie,0,22,16,1,1420506920000,1,1,1,1,0,0,0,False,2077,23,367,2.0,2.0,0.25,3.0,0.375,3.0,0.375,1,2.0,2.518225918095337,2132.333333333333
22,slisovski_geolight,0,1,5,0,1407798596000,13,2,0,1,1,1,1,True,1240,2,968,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.5,3.3746568233975367,2144.0
23,nachocab_df2json,0,1,3,0,1362073223000,2,1,2,2,0,3,3,True,42,2,22,9.0,0.0,0.0,1.0,0.5,1.0,0.5,2,3.0,2.64682613091998,2372.0
34,edzer_hexbin,0,1,1,10,1407679843000,5,1,2,2,0,4,4,True,4776,22,708,311.0,,,,,,,2,2.0,3.1769825918762087,3102.0
35,mmparker_tbdiag,0,14,1,0,1303839864000,9,1,1,1,0,0,0,True,254,14,412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.4620573355817874,2372.0
42,rbatt_rblib,0,1,4,0,1434753666000,5,1,1,1,0,0,0,False,162,11,313,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1,2.0,2.7388535348691057,713.5
49,petermeissner_diffr,0,8,4,0,1410453872000,20,2,1,2,0,13,13,True,534,17,195,4.0,0.0,0.0,1.0,0.25,1.0,0.25,2,1.5,1.6586841378515518,2737.0
59,machow_reltools,0,1,5,0,1408205228000,1,1,1,1,0,0,0,False,60,3,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.2142781805963463,3145.0
61,thelayc_laycutils,0,3,8,0,1421875806000,8,2,1,1,0,0,0,False,243,17,218,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.625,2.4004050131145007,1445.75
66,mattflor_rriskdistributions,1,0,4,1,1431337403000,5,2,0,2,1,0,0,True,3514,2,3446,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.75,2.0552249459198357,3604.0
68,sylvainforet_bpest,0,1,0,0,1402557615000,1,0,0,1,2,0,0,False,233,1,17,0.0,,,,,,,1,,,
69,sdray_ade4,0,2,13,5,1441804096000,64,5,3,3,2,2,2,True,20062,188,1394,259.0,4.0,0.16,1.0,0.06666666666666668,4.0,0.11428571428571427,3,1.8,3.412250161186332,2828.3
70,alyssafrazee_ballgown,11,64,3,10,1366254769000,74,6,30,34,20,43,43,False,1811,32,1356,11.0,0.0,0.0,2.0,0.014705882352941175,3.0,0.02205882352941177,34,2.8,3.2328568213557927,1459.5
74,52north_sos4r,12,30,17,2,1381836276000,5,2,5,6,7,3,3,True,10872,58,4359,4.0,2.0,0.2,1.0,0.03333333333333333,3.0,0.08571428571428573,6,2.0,3.9844153729825864,3141.142857142857
80,tnaake_dsmcompare,0,3,2,0,1408633837000,5,1,1,1,0,0,0,False,297,1,146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,4.002150526227698,1824.5
81,gavinsimpson_coenocliner,0,23,2,1,1394926332000,27,4,3,5,5,8,8,True,535,11,770,2.0,0.0,0.0,1.0,0.1,1.0,0.1,5,2.0,3.2328568213557927,1459.5
82,hadley_tidyr,53,110,11,0,1402410273000,44,17,110,124,87,275,275,True,683,21,615,2883.0,20.0,0.14705882352941174,155.0,0.15625,157.0,0.15826612903225806,124,1.7,3.431751207443905,980.7
84,inzightvit_inzightmr,2,3,0,4,1373510859000,15,3,2,2,2,0,0,False,1748,14,298,6.0,6.0,0.6666666666666666,5.0,0.8333333333333334,6.0,0.6666666666666666,2,,,
