ISSUE URL,State,Type,Upstream Dependency
http://github.com/rstudio/rmarkdown/issues/6,closed,Issue,Pandoc
http://github.com/trevorld/argparse/issues/10,closed,Issue,rjson
http://github.com/projectmosaic/mosaic/issues/297,closed,Issue,Lattice
http://github.com/yihui/knitr/issues/969,closed,Issue,rgl
http://github.com/briandk/granovagg/issues/151,closed,Issue,ggplot2
http://github.com/rstudio/rmarkdown/issues/207,closed,PR,pandoc
http://github.com/dgrtwo/broom/issues/60,closed,PR,lme4
http://github.com/jefferis/nat/issues/188,closed,Issue,httr
http://github.com/hadley/tidyr/issues/97,open,Issue,ggplot2
http://github.com/hadley/devtools/issues/890,closed,Issue,git2r
http://github.com/ropensci/rfigshare/issues/82,closed,Issue,httr
http://github.com/ropensci/rbison/issues/38,closed,Issue,ggplot2
http://github.com/ropensci/spocc/issues/94,closed,Issue,rbif
http://github.com/timelyportfolio/d3treer/issues/11,closed,Issue,htmlwidgets
http://github.com/hadley/devtools/issues/609,closed,Issue,roxygen2
http://github.com/lgatto/msnbase/issues/48,closed,PR,mzR;mzID
http://github.com/mlr-org/mlr/issues/544,open,Issue,logger;futile
http://github.com/hadley/ggplot2/issues/824,closed,Issue,scales
http://github.com/hadley/ggplot2/issues/753,closed,Issue,Grid
http://github.com/nutterb/hydenet/issues/32,closed,PR,broom
http://github.com/hadley/tidyr/issues/73,closed,Issue,reshape2
http://github.com/nutterb/hydenet/issues/93,closed,Issue,DiagrammeR
http://github.com/zachmayer/caretensemble/issues/5,closed,PR,caret;testthat
http://github.com/mlr-org/mlr/issues/265,closed,PR,kohonen; rocr
http://github.com/hadley/devtools/issues/544,closed,Issue,roxygen
http://github.com/rdatsci/rt/issues/15,closed,Issue,devtools
http://github.com/mlr-org/mlr/issues/345,closed,PR,testthat
http://github.com/stan-dev/shinystan/issues/85,closed,Issue,ggplot2
http://github.com/opensdmx/rsdmx/issues/31,closed,Issue,XML
http://github.com/hadley/devtools/issues/499,closed,PR,testthat
http://github.com/benjcunningham/ben/issues/2,open,Issue,readr
http://github.com/randyzwitch/rsitecatalyst/issues/103,closed,Issue,jsonlite
http://github.com/rstudio/shinyapps/issues/147,open,Issue,rsconnect
http://github.com/jennybc/reprex/issues/5,closed,Issue,devtools
http://github.com/ramnathv/slidify/issues/400,open,Issue,slidifyLibraries
http://github.com/predictiveecology/spades/issues/195,closed,Issue,testthat
http://github.com/jjallaire/sigma/issues/4,closed,PR,htmlwidgets
http://github.com/mdkarcher/phylodyn/issues/7,closed,Issue,INLA
http://github.com/hadley/testthat/issues/258,closed,PR,devtools
http://github.com/ropensci/spocc/issues/128,closed,Issue,antweb;ecoengine;rebird;rbison
http://github.com/frenchja/sapatools/issues/1,open,Issue,data.table
http://github.com/hadley/rvest/issues/64,closed,PR,XML
http://github.com/dgrtwo/broom/issues/69,closed,PR,gam
http://github.com/rexamine/turtlegraphics/issues/21,closed,Issue,grid
http://github.com/hadley/ggplot2/issues/1470,closed,Issue,scales
http://github.com/rapporter/rapport/issues/41,closed,Issue,pander
http://github.com/nutterb/pixiedust/issues/13,open,Issue,broom
http://github.com/dselivanov/text2vec/issues/28,closed,Issue,digest
http://github.com/mlr-org/mlr/issues/696,closed,PR,checkmate
http://github.com/hadley/ggplot2/issues/278,closed,Issue,scales
http://github.com/rapporter/rapport/issues/71,closed,Issue,pander
http://github.com/ramhiser/activelearning/issues/11,closed,Issue,caret
http://github.com/pmassicotte/gtrendsr/issues/24,closed,Issue,zoo
http://github.com/rstudio/dt/issues/219,closed,Issue,stats
http://github.com/alyssafrazee/ballgown/issues/54,closed,Issue,Tablemaker
http://github.com/rtcga/rtcga/issues/6,closed,Issue,"assertthat,stringi"
http://github.com/thomasp85/mzid/issues/12,closed,Issue,XML
http://github.com/retrography/orientr/issues/2,closed,Issue,magrittr
http://github.com/jbkunst/highcharter/issues/15,closed,Issue,magrittr
http://github.com/trinker/plotflow/issues/3,closed,Issue,Ggally
http://github.com/trestletech/shinyrgl/issues/3,closed,Issue,rgl
http://github.com/ropengov/gisfin/issues/4,closed,Issue,rgdal
http://github.com/ramhiser/itertools2/issues/43,open,Issue,magrittr
http://github.com/ramhiser/itertools2/issues/47,open,Issue,"iterators, purrr"
http://github.com/ropensci/solrium/issues/52,closed,Issue,dplyr
http://github.com/dselivanov/text2vec/issues/35,closed,Issue,"knittr, readr"
http://github.com/hgjerning/rexcel/issues/13,closed,Issue,xlsxjars
http://github.com/nolanlab/citrus/issues/87,closed,Issue,flowCore
http://github.com/sjmgarnier/viridis/issues/7,closed,Issue,ggplot2
http://github.com/brodieg/alike/issues/2,closed,Issue,data.table
http://github.com/randyzwitch/rsitecatalyst/issues/16,closed,Issue,httr
http://github.com/rstudio/shiny/issues/652,closed,Issue,rmarkdown
http://github.com/usgs-r/smwrgraphs/issues/9,closed,Issue,DataRetrieval
http://github.com/chicago/rsocrata/issues/50,closed,Issue,httr
http://github.com/mangothecat/testcoverage/issues/6,open,PR,testthat;devtools
http://github.com/usgs-r/powstreams/issues/6,closed,PR,sbtools
http://github.com/jakobbossek/ecr/issues/28,closed,Issue,tspmeta
http://github.com/ropensci/rplos/issues/102,closed,Issue,httr
http://github.com/joey711/phyloseq/issues/433,closed,Issue,ggplot
http://github.com/hadley/stringr/issues/29,closed,PR,stringi
http://github.com/lme4/lme4/issues/135,open,Issue,gamm
http://github.com/seeg-oxford/seegsdm/issues/6,open,Issue,gbm
http://github.com/henrikbengtsson/aroma.seq/issues/12,closed,Issue,biostrings
https://github.com/zachmayer/caretEnsemble/issues/98,closed,PR,ewstools
http://github.com/ramnathv/slidify/issues/5,closed,Issue,httr
http://github.com/rstats-db/dbi/issues/54,closed,Issue,rsqlite
http://github.com/cbielow/ptxqc/issues/12,closed,Issue,ggplot
http://github.com/jefferislab/nat.templatebrains/issues/20,closed,Issue,rgl
http://github.com/mlr-org/mlr/issues/172,closed,Issue,openml
http://github.com/joey711/phyloseq/issues/114,closed,Issue,biom
http://github.com/yihui/knitr/issues/74,closed,Issue,rgl
http://github.com/vnijs/radiant/issues/43,closed,Issue,mathjaxr
http://github.com/rstudio/rmarkdown/issues/470,closed,Issue,pandoc
http://github.com/joey711/phyloseq/issues/35,closed,Issue,data.table
http://github.com/sckott/analogsea/issues/49,closed,Issue,httr
http://github.com/quantgen/bedmatrix/issues/10,open,Issue,rcpp
http://github.com/lme4/lme4/issues/54,closed,Issue,methods; lme4
http://github.com/nolanlab/spade/issues/81,open,Issue,flowcore
http://github.com/predictiveecology/spades/issues/239,closed,Issue,igraph
http://github.com/rasmusab/bayesian_first_aid/issues/7,closed,Issue,mass
http://github.com/oneillkza/contibait/issues/10,closed,PR,rsamtools
http://github.com/ropensci/stplanr/issues/60,closed,PR,tmap
http://github.com/usgs-r/powstreams/issues/4,closed,Issue,mda.streams
http://github.com/hms-dbmi/scde/issues/11,closed,PR,rcpparmadillo
http://github.com/centerforassessment/sgp/issues/576,closed,PR,data.table
http://github.com/crtahlin/medplot/issues/79,closed,Issue,shiny
http://github.com/usgs-r/powstreams/issues/47,closed,PR,mda.streams
